"prefectures","value","year","sex"
"岩手県","713",1974,"female"
"岩手県","92.9",1974,"ratio"
"岩手県","668",1975,"male"
"岩手県","717",1975,"female"
"岩手県","93.1",1975,"ratio"
"岩手県","674",1976,"male"
"岩手県","721",1976,"female"
"岩手県","93.5",1976,"ratio"
"岩手県","677",1977,"male"
"岩手県","724",1977,"female"
"岩手県","93.5",1977,"ratio"
"岩手県","682",1978,"male"
"岩手県","727",1978,"female"
"岩手県","93.7",1978,"ratio"
"岩手県","685",1979,"male"
"岩手県","730",1979,"female"
"岩手県","93.8",1979,"ratio"
"岩手県","688",1980,"male"
"岩手県","733",1980,"female"
"岩手県","93.9",1980,"ratio"
"岩手県","690",1981,"male"
"岩手県","736",1981,"female"
"岩手県","93.8",1981,"ratio"
"岩手県","691",1982,"male"
"岩手県","738",1982,"female"
"岩手県","93.6",1982,"ratio"
"岩手県","692",1983,"male"
"岩手県","740",1983,"female"
"岩手県","93.5",1983,"ratio"
"岩手県","692",1984,"male"
"岩手県","741",1984,"female"
"岩手県","93.4",1984,"ratio"
"岩手県","692",1985,"male"
"岩手県","742",1985,"female"
"岩手県","93.2",1985,"ratio"
"岩手県","690",1986,"male"
"岩手県","741",1986,"female"
"岩手県","93",1986,"ratio"
"岩手県","687",1987,"male"
"岩手県","740",1987,"female"
"岩手県","92.8",1987,"ratio"
"岩手県","685",1988,"male"
"岩手県","739",1988,"female"
"岩手県","92.6",1988,"ratio"
"岩手県","682",1989,"male"
"岩手県","737",1989,"female"
"岩手県","92.5",1989,"ratio"
"岩手県","680",1990,"male"
"岩手県","737",1990,"female"
"岩手県","92.3",1990,"ratio"
"岩手県","680",1991,"male"
"岩手県","736",1991,"female"
"岩手県","92.4",1991,"ratio"
"岩手県","680",1992,"male"
"岩手県","736",1992,"female"
"岩手県","92.4",1992,"ratio"
"岩手県","681",1993,"male"
"岩手県","736",1993,"female"
"岩手県","92.5",1993,"ratio"
"岩手県","681",1994,"male"
"岩手県","737",1994,"female"
"岩手県","92.5",1994,"ratio"
"岩手県","682",1995,"male"
"岩手県","738",1995,"female"
"岩手県","92.5",1995,"ratio"
"岩手県","683",1996,"male"
"岩手県","738",1996,"female"
"岩手県","92.5",1996,"ratio"
"岩手県","683",1997,"male"
"岩手県","737",1997,"female"
"岩手県","92.6",1997,"ratio"
"岩手県","682",1998,"male"
"岩手県","737",1998,"female"
"岩手県","92.6",1998,"ratio"
"岩手県","681",1999,"male"
"岩手県","736",1999,"female"
"岩手県","92.6",1999,"ratio"
"岩手県","681",2000,"male"
"岩手県","735",2000,"female"
"岩手県","92.7",2000,"ratio"
"宮城県","485",1920,"male"
"宮城県","476",1920,"female"
"宮城県","101.9",1920,"ratio"
"宮城県","493.2",1921,"male"
"宮城県","484.8",1921,"female"
"宮城県","101.7",1921,"ratio"
"宮城県","500.1",1922,"male"
"宮城県","492",1922,"female"
"宮城県","101.6",1922,"ratio"
"宮城県","516.3",1923,"male"
"宮城県","506.3",1923,"female"
"宮城県","102",1923,"ratio"
"宮城県","522.4",1924,"male"
"宮城県","513.2",1924,"female"
"宮城県","101.8",1924,"ratio"
"宮城県","525",1925,"male"
"宮城県","519",1925,"female"
"宮城県","101.2",1925,"ratio"
"宮城県","535.4",1926,"male"
"宮城県","528.6",1926,"female"
"宮城県","101.3",1926,"ratio"
"宮城県","544.3",1927,"male"
"宮城県","537.2",1927,"female"
"宮城県","101.3",1927,"ratio"
"宮城県","553",1928,"male"
"宮城県","546.3",1928,"female"
"宮城県","101.2",1928,"ratio"
"宮城県","562.6",1929,"male"
"宮城県","555",1929,"female"
"宮城県","101.4",1929,"ratio"
"宮城県","575",1930,"male"
"宮城県","567",1930,"female"
"宮城県","101.4",1930,"ratio"
"宮城県","589.7",1931,"male"
"宮城県","580.2",1931,"female"
"宮城県","101.6",1931,"ratio"
"宮城県","602",1932,"male"
"宮城県","593.4",1932,"female"
"宮城県","101.4",1932,"ratio"
"宮城県","615.1",1933,"male"
"宮城県","607",1933,"female"
"宮城県","101.3",1933,"ratio"
"宮城県","621.1",1934,"male"
"宮城県","611.4",1934,"female"
"宮城県","101.6",1934,"ratio"
"宮城県","623",1935,"male"
"宮城県","612",1935,"female"
"宮城県","101.8",1935,"ratio"
"宮城県","638.1",1936,"male"
"宮城県","622.4",1936,"female"
"宮城県","102.5",1936,"ratio"
"宮城県","633.8",1937,"male"
"宮城県","627.2",1937,"female"
"宮城県","101.1",1937,"ratio"
"宮城県","611.8",1938,"male"
"宮城県","625",1938,"female"
"宮城県","97.9",1938,"ratio"
"宮城県","609.2",1939,"male"
"宮城県","626.7",1939,"female"
"宮城県","97.2",1939,"ratio"
"宮城県","613",1940,"male"
"宮城県","633",1940,"female"
"宮城県","96.8",1940,"ratio"
"宮城県","597.5",1941,"male"
"宮城県","642.5",1941,"female"
"宮城県","93",1941,"ratio"
"宮城県","597.3",1942,"male"
"宮城県","653.5",1942,"female"
"宮城県","91.4",1942,"ratio"
"宮城県","600.4",1943,"male"
"宮城県","666.2",1943,"female"
"宮城県","90.1",1943,"ratio"
"宮城県","602",1944,"male"
"宮城県","673",1944,"female"
"宮城県","89.4",1944,"ratio"
"宮城県","684",1945,"male"
"宮城県","778",1945,"female"
"宮城県","88",1945,"ratio"
"宮城県","694",1946,"male"
"宮城県","768",1946,"female"
"宮城県","90.4",1946,"ratio"
"宮城県","773",1947,"male"
"宮城県","794",1947,"female"
"宮城県","97.4",1947,"ratio"
"宮城県","794.5",1948,"male"
"宮城県","812.2",1948,"female"
"宮城県","97.8",1948,"ratio"
"宮城県","812.9",1949,"male"
